, r, g, b
0,115,82,68
1,194,150,130
2,98,122,157
3,87,108,67
4,133,128,177
5,103,189,170
6,214,126,44
7,80,91,166
8,193,90,99
9,94,60,108
10,157,188,64
11,224,163,46
12,56,61,150
13,70,148,73
14,175,54,50
15,231,199,31
16,187,86,149
17,8,133,161
18,243,243,242
19,200,200,200
20,160,160,160
21,122,122,121
22,85,85,85
23,52,52,52
